"Regime","Tipo","Preco","Ocasiao","Restricao","Perfil"
"Normal","Comida tradicional","11a20","Algumas vezes","nao","perfil24"
"Vegetariano","Vegetariana","11a20","Algumas vezes","nao","perfil96"
"Normal","Fast-Food","1a10","Algumas vezes","nao","perfil3"
"Vegetariano","Vegetariana","20+","Dias especiais","nao","perfil80"
"Normal","Comida tradicional","20+","Dias especiais","nao","perfil25"
"Normal","Comida oriental","20+","Algumas vezes","nao","perfil34"
"Normal","Fast-Food","1a10","Dias especiais","nao","perfil21"
"Normal","Comida tradicional","20+","Dieta","nao","perfil26"
"Normal","Vegetariana","11a20","Dieta","nao","perfil14"
"Vegan","Comida tradicional","11a20","Dieta","nao","perfil59"
"Normal","Vegetariana","20+","Algumas vezes","nao","perfil18"
"Normal","Comida tradicional","20+","Dias especiais","nao","perfil25"
"Normal","Comida oriental","20+","Dias especiais","nao","perfil34"
"Normal","Fast-Food","1a10","Algumas vezes","nao","perfil3"
"Normal","Comida tradicional","20+","Dias especiais","nao","perfil25"
"Normal","Fast-Food","1a10","Dias especiais","nao","perfil1"
"Normal","Fast-Food","1a10","Algumas vezes","nao","perfil3"
"Normal","Comida tradicional","20+","Dias especiais","nao","perfil25"
"Normal","Comida tradicional","11a20","Dias especiais","nao","perfil22"
"Normal","Comida tradicional","11a20","Dias especiais","nao","perfil22"
"Vegetariano","Vegetariana","11a20","Dias especiais","nao","perfil79"
"Vegetariano","Fast-Food","11a20","Dieta","nao","perfil93"
"Normal","Comida oriental","20+","Dias especiais","nao","perfil34"
"Vegan","Comida tradicional","20+","Algumas vezes","nao","perfil61"
"Vegetariano","Comida oriental","11a20","Dias especiais","nao","perfil83"
"Normal","Comida oriental","20+","Dias especiais","nao","perfil34"
"Vegetariano","Vegetariana","20+","Algumas vezes","nao","perfil104"
"Normal","Comida tradicional","20+","Dias especiais","nao","perfil25"
"Normal","Comida oriental","20+","Dieta","nao","perfil35"
"Vegan","Comida oriental","11a20","Dias especiais","nao","perfil68"
"Normal","Fast-Food","1a10","Dias especiais","nao","perfil1"
"Vegan","Comida oriental","20+","Dieta","nao","perfil70"
"Normal","Comida oriental","20+","Dias especiais","nao","perfil34"
"Normal","Comida oriental","20+","Algumas vezes","nao","perfil33"
"Vegan","Vegetariana","11a20","Dias especiais","nao","perfil49"
"Normal","Comida tradicional","1a10","Algumas vezes","nao","perfil21"
"Normal","Comida tradicional","11a20","Algumas vezes","nao","perfil24"
"Vegetariano","Vegetariana","11a20","Algumas vezes","nao","perfil96"
"Vegan","Fast-Food","1a10","Dieta","nao","perfil38"
"Vegetariano","Vegetariana","11a20","Algumas vezes","nao","perfil96"
"Vegan","Fast-Food","1a10","Dieta","nao","perfil38"
"Normal","Comida tradicional","11a20","Algumas vezes","nao","perfil24"
"Vegetariano","Fast-Food","1a10","Dias especiais","nao","perfil73"
"Vegan","Comida oriental","11a20","Algumas vezes","nao","perfil69"
"Normal","Comida tradicional","11a20","Algumas vezes","nao","perfil24"
"Vegetariano","Comida oriental","11a20","Algumas vezes","nao","perfil100"
"Vegan","Comida tradicional","1a10","Dias especiais","nao","perfil56"
"Normal","Fast-Food","1a10","Algumas vezes","nao","perfil3"
"Normal","Fast-Food","1a10","Algumas vezes","nao","perfil3"
"Vegetariano","Comida oriental","20+","Dias especiais","nao","perfil84"
"Vegan","Comida oriental","11a20","Algumas vezes","nao","perfil69"
"Vegetariano","Comida oriental","20+","Algumas vezes","nao","perfil84"
"Vegan","Comida oriental","11a20","Algumas vezes","nao","perfil69"
"Vegetariano","Comida tradicional","11a20","Dieta","nao","perfil97"
"Vegan","Comida tradicional","20+","Dias especiais","nao","perfil63"
"Normal","Comida tradicional","20+","Dias especiais","nao","perfil25"
"Vegetariano","Fast-Food","1a10","Algumas vezes","nao","perfil86"
"Vegan","Comida tradicional","20+","Dias especiais","nao","perfil63"
"Normal","Comida tradicional","11a20","Dias especiais","nao","perfil22"
"Vegetariano","Vegetariana","11a20","Dieta","nao","perfil95"
"Normal","Vegetariana","11a20","Dieta","nao","perfil14"
"Vegan","Fast-Food","11a20","Dieta","nao","perfil41"
"Normal","Fast-Food","1a10","Dias especiais","nao","perfil1"
"Vegetariano","Vegetariana","11a20","Dieta","nao","perfil95"
"Vegan","Fast-Food","11a20","Dieta","nao","perfil41"
"Vegetariano","Comida tradicional","20+","Dias especiais","nao","perfil82"
"Normal","Vegetariana","20+","Dieta","nao","perfil18"
"Vegan","Comida tradicional","1a10","Algumas vezes","nao","perfil39"
"Vegetariano","Vegetariana","20+","Algumas vezes","nao","perfil104"
"Normal","Comida tradicional","11a20","Dieta","nao","perfil23"
"Vegan","Comida oriental","11a20","Dieta","nao","perfil67"
"Normal","Fast-Food","11a20","Algumas vezes","nao","perfil7"
"Vegetariano","Vegetariana","11a20","Dias especiais","nao","perfil79"
"Vegan","Fast-Food","1a10","Dias especiais","nao","perfil37"
"Normal","Fast-Food","1a10","Algumas vezes","nao","perfil3"
"Vegetariano","Fast-Food","11a20","Algumas vezes","nao","perfil94"
"Normal","Vegetariana","1a10","Algumas vezes","nao","perfil13"
"Vegan","Comida oriental","11a20","Algumas vezes","nao","perfil69"
"Normal","Comida tradicional","1a10","Dias especiais","nao","perfil20"
"Vegan","Comida tradicional","1a10","Algumas vezes","nao","perfil57"
"Vegetariano","Comida tradicional","11a20","Algumas vezes","nao","perfil98"
"Normal","Fast-Food","1a10","Algumas vezes","nao","perfil3"
"Vegan","Comida oriental","1a10","Algumas vezes","nao","perfil66"
"Vegetariano","Comida oriental","11a20","Dieta","nao","perfil99"
"Vegan","Fast-Food","1a10","Dieta","nao","perfil38"
"Normal","Comida oriental","11a20","Dias especiais","nao","perfil31"
"Vegan","Comida oriental","11a20","Algumas vezes","nao","perfil69"
"Vegetariano","Comida oriental","20+","Algumas vezes","nao","perfil108"
"Normal","Fast-Food","1a10","Algumas vezes","nao","perfil3"
"Vegetariano","Vegetariana","11a20","Algumas vezes","nao","perfil96"
"Vegan","Comida tradicional","20+","Algumas vezes","nao","perfil61"
"Normal","Comida oriental","20+","Dias especiais","nao","perfil34"
"Vegetariano","Vegetariana","11a20","Dias especiais","nao","perfil79"
"Normal","Comida oriental","20+","Algumas vezes","nao","perfil36"
"Vegan","Comida tradicional","20+","Algumas vezes","nao","perfil61"
"Vegetariano","Fast-Food","1a10","Algumas vezes","nao","perfil86"
"Normal","Vegetariana","11a20","Dieta","nao","perfil15"
"Vegan","Fast-Food","11a20","Dieta","nao","perfil41"
"Vegetariano","Vegetariana","1a10","Algumas vezes","nao","perfil88"
"Normal","Comida tradicional","11a20","Dias especiais","nao","perfil22"
"Normal","Comida tradicional","1a10","Dias especiais","nao","perfil20"
"Normal","Comida tradicional","11a20","Algumas vezes","nao","perfil24"
"Normal","Comida tradicional","20+","Algumas vezes","nao","perfil27"
"Normal","Comida tradicional","20+","Dias especiais","nao","perfil25"
"Vegetariano","Vegetariana","1a10","Dias especiais","nao","perfil74"
"Vegetariano","Vegetariana","1a10","Dias especiais","nao","perfil74"
"Vegetariano","Vegetariana","1a10","Dias especiais","nao","perfil74"
"Normal","Comida tradicional","20+","Dias especiais","nao","perfil25"
